Datum,PV(kWh),sin_month_x,cos_month_x,sin_dayofyear_x,cos_dayofyear_x,year_x,datetime,humidity,dew,windspeed,precip,solarradiation,tempmin,precipcover,uvindex,temp,tempmax,pressure,windgust,winddir,feelslikemin,snowdepth,cloudcover,feelslike,snow,solarenergy,feelslikemax,preciptype,visibility,sin_month_y,cos_month_y,sin_dayofyear_y,cos_dayofyear_y,year_y,sunset_seconds,sunrise_seconds,sunset_sin,sunset_cos,sunrise_sin,sunrise_cos,day_length_seconds,day_length_hours
2025-07-14,40.2,-0.4999999999999997,-0.8660254037844388,-0.2135209154397959,-0.9769384927771817,2025,2025-07-14,68.0,13.8,17.4,2.297,262.2,14.2,16.67,9.0,20.4,26.7,1013.8,50.4,267.2,14.2,0.0,54.1,20.4,0.0,22.7,26.7,['rain'],33.2,-0.4999999999999997,-0.8660254037844388,-0.2135209154397959,-0.9769384927771817,2025,75024,17831,-0.7360970871197345,0.6768759696826605,0.9626720652611515,0.27067045417967095,57193,15.886944444444444
2025-07-15,42.0,-0.4999999999999997,-0.8660254037844388,-0.23030567023061196,-0.973118337233262,2025,2025-07-15,72.4,14.5,19.4,2.193,297.9,15.9,33.33,9.0,20.0,25.1,1014.7,52.3,294.4,15.9,0.0,78.4,20.0,0.0,26.1,25.1,['rain'],30.1,-0.4999999999999997,-0.8660254037844388,-0.23030567023061196,-0.973118337233262,2025,74971,17895,-0.7387004750710263,0.6740338330750468,0.9639213916801365,0.26618705953037775,57076,15.854444444444445
2025-07-16,42.2,-0.4999999999999997,-0.8660254037844388,-0.24702218048093527,-0.9690098257244063,2025,2025-07-16,73.6,11.6,17.4,0.505,222.0,13.2,25.0,9.0,16.8,21.2,1013.2,43.2,279.5,13.2,0.0,75.8,16.8,0.0,19.2,21.2,['rain'],29.0,-0.4999999999999997,-0.8660254037844388,-0.24702218048093527,-0.9690098257244063,2025,74915,17961,-0.7414393008395087,0.67101994245374,0.9651878901849948,0.26155752071052807,56954,15.820555555555556
2025-07-17,22.9,-0.4999999999999997,-0.8660254037844388,-0.2636654927280072,-0.9646141756912435,2025,2025-07-17,80.1,11.2,15.0,1.175,208.5,12.7,75.0,8.0,14.7,17.6,1012.3,33.8,352.3,12.7,0.0,89.4,14.7,0.0,17.8,17.6,['rain'],24.5,-0.4999999999999997,-0.8660254037844388,-0.2636654927280072,-0.9646141756912435,2025,74857,18028,-0.7442629781091148,0.6678866815681768,0.9664508353324498,0.25685167487328187,56829,15.785833333333333
2025-07-18,23.3,-0.4999999999999997,-0.8660254037844388,-0.2802306751992161,-0.9599326896597445,2025,2025-07-18,79.6,11.8,9.2,3.534,161.0,12.5,41.67,7.0,15.6,19.7,1012.8,14.8,353.3,12.5,0.0,79.2,15.6,0.0,14.0,19.7,['rain'],23.3,-0.4999999999999997,-0.8660254037844388,-0.2802306751992161,-0.9599326896597445,2025,74796,18097,-0.7472184209116279,0.664578536706034,0.9677274989241113,0.25199898377986396,56699,15.749722222222223
2025-07-19,42.6,-0.4999999999999997,-0.8660254037844388,-0.2967128192734901,-0.9549667548552553,2025,2025-07-19,70.7,12.4,11.8,0.153,321.8,11.9,4.17,10.0,18.2,24.1,1011.4,23.8,304.8,11.9,0.0,47.8,18.2,0.0,27.8,24.1,['rain'],38.9,-0.4999999999999997,-0.8660254037844388,-0.2967128192734901,-0.9549667548552553,2025,74733,18167,-0.7502553276459,0.6611482007378855,0.9689977665694788,0.2470694808821235,56566,15.712777777777777
2025-07-20,49.2,-0.4999999999999997,-0.8660254037844388,-0.3131070409358267,-0.9497178427914317,2025,2025-07-20,63.5,12.9,11.7,0.0,298.5,13.7,0.0,9.0,20.8,27.2,1008.1,23.0,299.6,13.7,0.0,23.5,20.8,0.0,25.7,27.1,['none'],43.0,-0.4999999999999997,-0.8660254037844388,-0.3131070409358267,-0.9497178427914317,2025,74668,18238,-0.7533721377149234,0.657594420684092,0.9702605298998848,0.24206301683321002,56430,15.675
2025-07-21,46.4,-0.4999999999999997,-0.8660254037844388,-0.3294084822245302,-0.9441875088341994,2025,2025-07-21,63.4,14.5,25.7,9.505,292.9,16.1,16.67,9.0,22.6,29.3,1004.6,64.6,218.3,16.1,0.0,43.0,22.6,0.0,25.4,29.1,['rain'],35.6,-0.4999999999999997,-0.8660254037844388,-0.3294084822245302,-0.9441875088341994,2025,74600,18311,-0.7566147828674927,0.6538608952570698,0.971531894072631,0.23690879848508423,56289,15.635833333333334
2025-07-22,36.4,-0.4999999999999997,-0.8660254037844388,-0.3456123126707333,-0.9383773917408642,2025,2025-07-22,72.7,13.1,22.0,1.573,234.9,13.6,8.33,10.0,18.6,23.4,1009.6,50.0,245.0,13.6,0.0,48.2,18.6,0.0,20.1,23.4,['rain'],40.8,-0.4999999999999997,-0.8660254037844388,-0.3456123126707333,-0.9383773917408642,2025,74530,18384,-0.7599334726229398,0.6500008593742317,0.9727758782093965,0.2317479034941575,56146,15.596111111111112
2025-07-23,43.7,-0.4999999999999997,-0.8660254037844388,-0.3617137307297674,-0.9322892131745134,2025,2025-07-23,66.0,12.1,20.6,0.0,303.9,13.0,0.0,10.0,19.0,24.1,1012.4,39.6,235.0,13.0,0.0,29.3,19.0,0.0,25.9,24.1,['none'],48.8,-0.4999999999999997,-0.8660254037844388,-0.3617137307297674,-0.9322892131745134,2025,74458,18459,-0.7633264366329998,0.6460129651463405,0.9740253917443586,0.2264388134513355,55999,15.555277777777778
