datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,windspeedmax,windspeedmean,sunrise,sunset,normal.tempmax,normal.tempmin,normal.feelslike,normal.precip,normal.humidity,normal.snowdepth,normal.windspeed,normal.windgust,normal.winddir,normal.cloudcover
2023-10-01,16.4,6.1,11.0,16.4,4.0,10.2,7.9,82.8,0.0,0.0,,0.0,0.0,54.0,13.5,300.8,1025.9,69.8,27.1,127.0,10.9,6.0,13.5,9.8,06:47:14,18:27:46,"[8.1, 14.9, 21.7]","[0.1, 5.9, 12.6]","[-4.5, 14.9, 21.7]","[0.0, 2.1, 20.5]","[70.0, 81.7, 97.9]","[0.0, 0.0, 0.0]","[11.9, 23.4, 50.4]","[39.6, 64.1, 79.2]","[51.2, 182.5, 321.2]","[3.9, 60.7, 100.0]"
2023-10-02,20.9,11.9,15.3,20.9,11.9,15.3,10.0,72.1,0.019,4.17,['rain'],0.0,0.0,24.8,16.4,248.7,1024.3,68.7,33.9,158.9,13.6,6.0,16.4,10.5,06:48:44,18:25:37,"[7.4, 14.7, 19.2]","[0.7, 6.5, 11.8]","[-3.4, 14.7, 19.2]","[0.0, 3.1, 15.9]","[66.3, 80.9, 93.5]","[0.0, 0.0, 0.2]","[11.5, 24.1, 44.3]","[43.2, 62.6, 90.0]","[53.9, 194.0, 257.0]","[7.1, 63.2, 97.9]"
2023-10-03,22.2,11.8,17.0,22.2,11.8,17.0,11.0,68.8,0.0,0.0,,0.0,0.0,72.0,33.9,196.6,1018.6,46.6,31.5,167.4,14.6,6.0,33.9,22.4,06:50:14,18:23:29,"[8.0, 14.5, 21.0]","[-2.4, 7.1, 15.9]","[-6.3, 14.5, 21.0]","[0.0, 3.3, 19.5]","[63.1, 80.6, 93.1]","[0.0, 0.0, 0.1]","[14.4, 27.0, 57.6]","[46.8, 68.0, 97.2]","[38.5, 192.8, 279.3]","[6.8, 67.6, 99.9]"
2023-10-04,17.5,7.9,12.7,17.5,6.2,12.3,7.9,74.0,2.307,16.67,['rain'],0.0,0.0,55.9,22.3,284.9,1025.7,53.4,34.8,171.3,14.8,6.0,22.3,15.2,06:51:44,18:21:22,"[9.1, 14.7, 21.0]","[-3.3, 7.1, 12.8]","[-7.1, 14.7, 21.0]","[0.0, 3.7, 29.6]","[63.8, 81.6, 94.9]","[0.0, 0.0, 0.0]","[13.3, 24.8, 37.1]","[39.6, 67.7, 93.6]","[53.8, 207.3, 285.1]","[23.3, 65.3, 93.8]"
2023-10-05,17.7,5.9,10.7,17.7,3.3,9.6,6.1,75.2,0.0,0.0,,0.0,0.0,50.4,23.5,246.0,1025.2,59.6,32.3,140.8,12.0,6.0,23.5,14.4,06:53:15,18:19:15,"[4.4, 14.1, 21.4]","[0.3, 6.7, 10.7]","[-4.7, 14.1, 21.4]","[0.0, 4.1, 27.3]","[48.0, 79.7, 96.7]","[0.0, 0.2, 4.8]","[14.4, 28.1, 55.1]","[39.6, 67.0, 97.2]","[64.9, 201.8, 333.3]","[2.5, 62.5, 99.9]"
2023-10-06,16.2,7.5,11.4,16.2,6.0,10.9,7.2,76.4,0.019,4.17,['rain'],0.0,0.0,56.6,19.3,241.7,1025.9,63.5,31.2,137.0,11.8,6.0,19.3,11.3,06:54:46,18:17:08,"[5.6, 14.2, 22.1]","[0.0, 6.3, 10.2]","[-2.8, 14.2, 22.1]","[0.0, 2.0, 14.0]","[61.5, 79.5, 89.9]","[0.0, 0.5, 10.3]","[11.5, 27.0, 46.8]","[39.6, 68.0, 100.8]","[21.2, 191.4, 255.5]","[13.9, 65.7, 94.7]"
2023-10-07,18.8,9.8,13.8,18.8,7.3,13.5,7.9,68.0,0.027,8.33,['rain'],0.0,0.0,61.2,27.9,233.9,1019.5,74.8,37.1,144.3,12.5,6.0,27.9,21.9,06:56:17,18:15:02,"[5.2, 13.5, 21.5]","[-1.9, 5.9, 13.8]","[-5.6, 13.5, 21.5]","[0.0, 4.0, 27.2]","[69.0, 84.4, 94.0]","[0.0, 0.6, 9.8]","[10.4, 23.4, 37.1]","[39.6, 64.1, 97.2]","[56.9, 182.4, 305.5]","[26.6, 67.7, 96.0]"
2023-10-08,15.1,3.7,10.0,15.1,0.8,8.8,5.1,72.2,3.788,29.17,['rain'],0.0,0.0,66.1,24.7,318.5,1021.2,71.7,33.7,83.7,7.1,6.0,24.7,17.9,06:57:48,18:12:56,"[3.6, 12.6, 22.2]","[-1.5, 5.4, 12.6]","[-5.9, 12.6, 22.2]","[0.0, 1.2, 8.1]","[72.9, 83.0, 93.2]","[0.0, 0.7, 9.1]","[8.3, 23.4, 43.6]","[43.2, 65.5, 100.8]","[56.1, 210.2, 264.7]","[40.5, 69.1, 92.0]"
2023-10-09,8.4,3.8,6.1,7.2,1.3,3.6,4.2,88.1,6.111,75.0,['rain'],0.0,0.0,64.8,21.0,289.9,1021.9,97.9,17.8,10.3,1.0,0.0,21.0,12.4,06:59:20,18:10:51,"[5.6, 12.0, 19.1]","[0.3, 4.5, 11.3]","[-4.0, 12.0, 19.1]","[0.0, 2.5, 15.4]","[65.0, 83.1, 95.5]","[0.0, 0.6, 8.3]","[10.4, 20.9, 40.3]","[43.2, 61.9, 97.2]","[60.2, 183.4, 276.3]","[6.1, 59.9, 98.8]"
2023-10-10,14.9,8.1,11.2,14.9,6.8,10.7,9.9,91.7,0.307,33.33,['rain'],0.0,0.0,46.8,15.2,269.0,1020.7,92.3,9.1,76.0,6.5,4.0,15.2,10.1,07:00:52,18:08:46,"[5.7, 12.3, 20.5]","[-1.0, 4.5, 10.4]","[-5.3, 12.3, 20.5]","[0.0, 1.6, 11.8]","[66.3, 82.4, 91.8]","[0.0, 0.4, 7.7]","[9.0, 22.0, 33.1]","[39.6, 59.4, 82.8]","[57.5, 170.8, 255.2]","[0.6, 63.9, 100.0]"
